time,latitude,longitude,u10,v10,mwd,mwp,swh
2021-05-01 04:00:00,34.0,121.0,3.3748932,-0.7689209,95.04442,4.9515667,0.8332015
2021-05-01 05:00:00,34.0,121.0,1.9111786,-0.31578064,94.61156,4.9993973,0.7944545
2021-05-01 06:00:00,34.0,121.0,0.61924744,-0.117507935,94.03162,5.026205,0.7578054
2021-05-01 07:00:00,34.0,121.0,-0.6695862,-0.59788513,93.40036,5.03496,0.72292215
2021-05-01 08:00:00,34.0,121.0,-1.9325104,-0.29792786,92.73569,5.032506,0.68972826
2021-05-01 09:00:00,34.0,121.0,-2.6914673,1.0651093,92.47,4.973626,0.6621812
2021-05-01 10:00:00,34.0,121.0,-2.3861847,3.3867188,94.75795,4.893899,0.63858676
2021-05-01 11:00:00,34.0,121.0,-1.5741577,4.413101,96.83675,4.7987432,0.61681277
2021-05-01 12:00:00,34.0,121.0,-0.60710144,4.6203766,98.149826,4.7410173,0.59115285
2021-05-01 13:00:00,34.0,121.0,0.13673401,4.2212524,99.711105,4.681731,0.56737196
2021-05-01 14:00:00,34.0,121.0,1.1572723,1.1993103,98.74244,4.6120253,0.54579735
2021-05-01 15:00:00,34.0,121.0,1.1505432,-4.4911194,85.804726,4.3403864,0.55728453
2021-05-01 16:00:00,34.0,121.0,-0.31401062,-7.702759,54.91422,3.9413605,0.62096983
2021-05-01 17:00:00,34.0,121.0,-1.1133575,-8.21347,27.50898,3.7020998,0.72273046
2021-05-01 18:00:00,34.0,121.0,-0.9489136,-8.582077,15.773533,3.697482,0.84535867
2021-05-01 19:00:00,34.0,121.0,-0.82795715,-8.714462,11.406848,3.8366442,0.95228046
2021-05-01 20:00:00,34.0,121.0,-0.9279175,-8.773941,9.515693,4.0127907,1.0388031
2021-05-01 21:00:00,34.0,121.0,-1.3201447,-9.051575,9.120334,4.177886,1.1271712
2021-05-01 22:00:00,34.0,121.0,-2.2481537,-8.789276,10.663456,4.330427,1.2146904
2021-05-01 23:00:00,34.0,121.0,-2.6086273,-8.133057,12.309203,4.462166,1.2376934
2021-05-02 00:00:00,34.0,121.0,-2.6911774,-7.1415405,13.590274,4.5550375,1.2043102
2021-05-02 01:00:00,34.0,121.0,-2.4410095,-6.0990753,14.316456,4.626622,1.1317062
2021-05-02 02:00:00,34.0,121.0,-1.973938,-5.2634735,14.56798,4.684659,1.0481243
2021-05-02 03:00:00,34.0,121.0,-1.1214294,-4.3961334,14.5236025,4.7315817,0.9670739
2021-05-02 04:00:00,34.0,121.0,-0.45759583,-3.6804962,14.40834,4.7620125,0.89414394
2021-05-02 05:00:00,34.0,121.0,-0.72291565,-3.312088,14.326216,4.7645855,0.8313237
2021-05-02 06:00:00,34.0,121.0,-1.3854065,-3.1927185,14.384919,4.7438154,0.77760303
2021-05-02 07:00:00,34.0,121.0,-1.9318085,-2.9025116,14.614454,4.7080307,0.7312262
2021-05-02 08:00:00,34.0,121.0,-2.689392,-2.8547058,15.063768,4.6635,0.69119704
2021-05-02 09:00:00,34.0,121.0,-4.0834045,-2.3760834,16.680756,4.5738106,0.6616186
2021-05-02 10:00:00,34.0,121.0,-3.4574432,-1.3440552,17.557571,4.552431,0.6251079
2021-05-02 11:00:00,34.0,121.0,-3.2351227,-0.27368164,18.297796,4.5222692,0.5945489
2021-05-02 12:00:00,34.0,121.0,-3.5642548,0.91830444,19.839006,4.4628696,0.57072914
2021-05-02 13:00:00,34.0,121.0,-3.7313232,2.0502777,22.690052,4.3702793,0.5542099
2021-05-02 14:00:00,34.0,121.0,-3.7636871,3.3125153,27.668322,4.2409315,0.5456946
2021-05-02 15:00:00,34.0,121.0,-4.55394,4.040558,40.938644,4.022745,0.55751574
2021-05-02 16:00:00,34.0,121.0,-5.160324,4.982239,70.13627,3.7443771,0.6044971
2021-05-02 17:00:00,34.0,121.0,-4.7878876,6.0723724,102.809845,3.5593767,0.68023974
2021-05-02 18:00:00,34.0,121.0,-4.106674,6.854721,125.14963,3.518116,0.76670563
2021-05-02 19:00:00,34.0,121.0,-3.833664,7.165924,137.63496,3.5888996,0.83754414
2021-05-02 20:00:00,34.0,121.0,-3.887024,7.3154755,144.07843,3.704626,0.89394546
2021-05-02 21:00:00,34.0,121.0,-4.279358,7.3537292,146.88138,3.824812,0.94285
2021-05-02 22:00:00,34.0,121.0,-4.360306,6.9403534,148.22723,3.9360237,0.9679799
